timestamp,insertId,executionId,executionMs
2020-07-22 17:05:12.844436 UTC,000000-7b1f0df9-580b-4e67-ad26-e4799af53dba,rrebqw13858u,19
2020-07-22 17:05:13.790013 UTC,000000-99a144a5-0cbe-4588-a36e-cffc764760ba,rrebptny8u44,7
2020-07-22 17:05:14.787684 UTC,000000-8921e48f-9e82-4747-8557-b6e20da83761,rrebymz5hsrs,12
2020-07-22 17:05:15.808318 UTC,000000-9d05e5da-fa60-4c2b-9a14-cb65a2b3691e,rreboz0lavpq,10
2020-07-22 17:05:16.909846 UTC,000000-6f74b2a9-a475-457f-b544-33389d425730,rrebv0t41js9,144
2020-07-22 17:06:48.094539 UTC,000000-9bab43c8-fd18-47da-beaf-e4887a562070,rreb25u2pd6t,12
2020-07-22 17:06:49.237220 UTC,000000-1288a644-b9d2-468c-9ac0-03c8ef1e4fff,rreb880ttiz7,22
2020-07-22 17:06:50.050192 UTC,000000-1216b1b7-3863-4484-b560-dcde90e6dee4,rrebqg7xpenz,24
2020-07-22 17:06:51.162420 UTC,000000-8007b3d5-1e92-4551-8c76-c5eda7400d8e,rrebhbdxvl8b,53
2020-07-22 17:06:52.027418 UTC,000000-f42dc76c-9cc6-4b3d-8fd3-6cf7bade57f0,rrebecnm4znj,33
2020-07-22 17:06:53.114821 UTC,000000-58f115bc-289e-4e3f-88a8-2fd725489410,rreb67csr5l2,92
2020-07-22 17:06:54.210541 UTC,000000-339b3f68-5272-489c-86e4-85ecc4734933,rrebp1yycdj6,197
2020-07-22 17:06:55.117855 UTC,000000-b9022952-7248-4912-a530-a9080b60066b,rrebppiereoq,120
2020-07-22 17:06:56.074009 UTC,000000-9d5c68b3-548d-4f67-aa87-fea8b6c34db6,rreb3nqi37sg,51
2020-07-22 17:06:57.044982 UTC,000000-847c5444-81f3-4f88-aea2-b2876229bbb4,rrebv7s1xtr9,17
2020-07-22 17:06:58.014102 UTC,000000-39ac80a6-0d61-415a-8141-4983a41d0186,rreb5te0jaoz,11
2020-07-22 17:06:59.210099 UTC,000000-63481281-3c85-433d-bf4c-f96bde2d87a7,rreb8208irfh,102
2020-07-22 17:07:00.209725 UTC,000000-12ea971b-e3f3-4732-8c86-cf690d9b2b13,rreb5mmwig1h,203
2020-07-22 17:07:03.014947 UTC,000000-a9c92dcf-7f2c-4bac-88bb-ab1d81505ccf,rrebx8dcor62,11
2020-07-22 17:07:04.115392 UTC,000000-46c6763d-7e9c-46eb-a57b-603f965ed023,rreb3s926gv6,103
